Component;Environment;Title;Description;Action;Lifecycle;Type;Line of Business;Latest Revision;Valid as Of;Version
"Joule";"Cloud Foundry";"Document Grounding Capability - Pipelines";"You can now upload a maximum number of 3000 documents per pipeline with the document grounding capability.  See Set Up Content Ingestion.";"Info only";"General Availability";"Changed";"Technology";"2025-09-25";"2025-09-25";"Cloud"
"Joule";"Cloud Foundry";"Document Grounding Capability - Support for Images and Tables Embedded in PDF Documents";"The document grounding capability supports now images and tables embedded in PDF documents.  See Set Up Document Grounding.";"Info only";"General Availability";"Changed";"Technology";"2025-09-25";"2025-09-25";"Cloud"
"Joule";"Cloud Foundry";"Enhanced Use Cases for Product Lifecycle Management in SAP S/4HANA Cloud Private Edition";"The following transactional use cases were enhanced in Product Lifecycle Management for SAP S/4HANA Cloud Private Edition.    Change Record      Find change records based on related products and a combination of attributes      Summarize change records, including their description, type, status, responsible, and last changed on, and number of item types      Navigate to selected change records directly in the Manage Change Records app        ";"Info only";"General Availability";"New";"Technology";"2026-09-17";"2025-09-23";"Cloud"
"Joule";"Cloud Foundry";"Enhancement to View Leave Balance - September 2025";"SAP SuccessFactors has made an enhancement to the View leave balance use case.  For more information, refer to Enhancement to View Leave Balance - September 2025";"Info only";"General Availability";"New";"Technology";"2025-09-22";"2025-09-23";"Cloud"
"Joule";"Cloud Foundry";"Joule Available for SAP Logistics Management";"In SAP Logistics Management, you can now use Joule for several transactional, navigational, and informational use cases.";"Info only";"General Availability";"New";"Technology";"2025-09-22";"2025-09-23";"Cloud"
"Joule";"Cloud Foundry";"Manage business partner certificates in SAP S/4HANA Cloud Private Edition";"The following transactional and read use cases are now supported to manage business partner certificate data in SAP S/4HANA Cloud Private Edition:  Show the business partner certificates configured for a country.  Show the business partner certificates maintained for a business partner for a country.  Show the certificates that are missing for a business partner for a country/region.  List the business partners who don't have mandatory certificates required for a country.  List the business partners based on different certificate details, such as certificate ID or certificate validity and expiry dates.   Exempt a business partner from holding a mandatory certificate.   Extend the validity of a business partner's certificate.    For more information, refer to Managing Business Partner Certificates.";"Info only";"General Availability";"New";"Technology";"2025-09-22";"2025-09-23";"Cloud"
"Joule";"Cloud Foundry";"Managing Supplier Invoices in SAP S/4HANA Cloud Public Edition";"You can now use Joule to release supplier invoices in SAP S/4HANA Cloud Public Edition. You can ask Joule to release a supplier invoice that is blocked for payment.";"Info only";"General Availability";"New";"Sourcing and Procurement";"2025-09-22";"2025-09-23";"Cloud"
"Joule";"Cloud Foundry";"New Use Cases Now Supported for Cash and Liquidity Management in SAP S/4HANA Cloud Public Edition";"The following use case are now supported in Cash and Liquidity Management for SAP S/4HANA Cloud Public Edition:  Displaying Cash Positions  Making Bank Transfers  ";"Info only";"General Availability";"New";"Technology";"2025-09-22";"2025-09-23";"Cloud"
"Joule";"Cloud Foundry";"New Use Cases Now Supported in Sales for SAP S/4HANA Cloud Private Edition";"The following transactional Joule capabilities are now supported in SAP S/4HANA Cloud Private Edition 2023 FPS01 release onwards:      Perform Release and Acceptance of Solution Quotations: Joule allows you to release, accept, or perform both actions together on solution quotations.      Fetch Solution Quotation Information: Joule enables you to fetch information about solution quotations based on the input criteria provided.      For more information, refer to  and , respectively.";"Info only";"General Availability";"New";"Technology";"2025-10-20";"2025-09-23";"Cloud"
"Joule";"Cloud Foundry";"New Use Cases Now Supported in SAP S/4HANA Cloud Public Edition";"Joule now enables you to view business data of the following objects in SAP S/4HANA Cloud Public Edition:  Condition Records for Pricing in Sales    For a list of the supported business objects, their details, and sample requests, see Viewing Business Data.";"Info only";"General Availability";"New";"Technology";"2025-09-19";"2025-09-23";"Cloud"
"Joule";"Cloud Foundry";"Project assistant capabilities for SAP S/4HANA Cloud Private Edition in Enterprise Portfolio and Project Management, to read the due or overdue activities in a Project, WBS Element, Network";"The following transactional project assistant capabilities are now supported in Enterprise Portfolio and Project Management for SAP S/4HANA Cloud Private Edition.    Display due or overdue activities in a Project  Display due or overdue activities in a WBS Element  Display due or overdue activities in a Network    For more information, see Read Due or Overdue Activities in Project, WBS Element, Network.";"Info only";"General Availability";"New";"Technology";"2025-08-31";"2025-09-12";"Cloud"
"Joule";"Cloud Foundry";"Support Extended for Mass Change of Sales Orders";"Joule capabilities in Sales for Mass Change of Sales Orders are now also supported in SAP S/4HANA Cloud Private Edition 2022.";"Info only";"General Availability";"Announcement";"Technology";"2025-07-21";"2025-09-12";"Cloud"
"Joule,SAP BTP Cockpit";"Cloud Foundry";"New Use Cases Added to Joule in SAP BTP Cockpit";"Joule in the Cockpit can now:    Add a user to a Cloud Foundry org or space  List applications in a Cloud Foundry space    For more information, check out Supported Administrative Tasks Using Joule in the Cockpit.";"Info only";"General Availability";"New";"Technology";"2025-09-11";"2025-09-11";"Cloud"
"Joule";"Cloud Foundry";"New Use Cases Now Available in SAP Integrated Business Planning";"You can now use Joule to do the following in SAP IBP:  Run a master data health check for a master data type of your choice. Before, these health checks could only be started from the Manage Master Data app or using the Master Data Health Check application job, but now you can define your query in a conversation with Joule and read the job results in a result table displayed in the Manage Master Data app.  Quickly run and monitor jobs. You can ask Joule to list your saved jobs, run saved jobs, or check the status of jobs.  ";"Info only";"General Availability";"New";"Technology";"2025-08-29";"2025-08-29";"Cloud"
"Joule";"Cloud Foundry";"SAP Joule for Consultants, New Features and Content";"  Prompt Guide with Examples  You can now access quick and easy tips for starting conversations with SAP Joule for Consultants. Click the Show Prompt Guide button above the Joule conversation window to view helpful instructions and examples.    Prompt Library  Easily browse a collection of pre-formulated prompts tailored to common roles and areas within SAP. Use filters to find prompts by Role (e.g., Consultant, Product Manager) or Area (e.g., Change Management, ABAP Development).    Each prompt includes:    The actual prompt      A less effective alternative prompt      Prompt objective      Prompt description      To use a prompt, simply copy it from the library and paste it into the Joule Conversation box.  This feature is accessible via a link in the Quick Prompt Guide.      Copy Answer to Clipboard  In addition to the Code Copy you can now quickly copy the entire contents of the Joule answer box by clicking the Copy button. This makes it easy to share Joule’s responses for use in other applications or purposes.    Knowledge Base Articles (Public version)  Public Information from Knowledge-Based Articles are now integrated into SAP Joule for Consultants. Stay tuned for more soon.    Refreshed Content    SAP Learning (Journeys and Courses)      SAP Community Content (Blogs, Forums, Q&A)      Activate Roadmap Content      ";"Info only";"General Availability";"New";"Technology";"2025-08-29";"2025-08-29";"Cloud"
"Joule";"Cloud Foundry";"Document Grounding Capability - Get Pipeline Status";"The available statuses for pipelines, executions, and documents have been updated.  See Get Pipeline Status.";"Info only";"General Availability";"Changed";"Technology";"2025-09-10";"2025-08-21";"Cloud"
"Joule";"Cloud Foundry";"Document Grounding Capability - Search Pipelines";"You can now send a POST request to the endpoint <url>/pipeline/api/v1/pipeline/search to see a list of document grounding pipelines that match the metadata specified in the request body.  See Search Pipelines.";"Info only";"General Availability";"New";"Technology";"2025-09-10";"2025-08-21";"Cloud"
"Joule";"Cloud Foundry";"Document Grounding Capability - Set Up Content Ingestion";"SharePoint can now have a folder depth of 5: In other words, it supports up to 5 levels in the folder hierarchy.  When setting up a pipeline, you can now schedule it to be automatically triggered at a frequency of your choice. You do so using cronExpression.  See Set Up Content Ingestion.";"Info only";"General Availability";"Changed";"Technology";"2025-09-10";"2025-08-21";"Cloud"
"Joule";"Cloud Foundry";"About Section available for Embedded Joule";"An About section has been added to Joule, containing application and environment details, along with an option to Download Traces, facilitating better supportability of issues.";"Info only";"General Availability";"New";"Technology";"2025-09-24";"2025-08-19";"Cloud"
"Joule";"Cloud Foundry";"Document Attachment Feature for Task Completion in Joule";"The document attachment feature allows users to upload necessary files directly within Joule while performing tasks or transactions.";"Info only";"General Availability";"New";"Technology";"2025-09-24";"2025-08-19";"Cloud"
"Joule";"Cloud Foundry";"Enhancement to Create Time Off - August 2025";"We've made an enhancement about half-day absence to the ""Create time off"" use case.  For more information, refer to Enhancement to Create Time Off - August 2025.";"Info only";"General Availability";"Changed";"Technology";"2025-08-19";"2025-08-19";"Cloud"
"Joule";"Cloud Foundry";"New Use Cases Now Supported for Finance Management Controlling in SAP S/4HANA Cloud Private Edition";"The following transactional Joule Use Cases are now available for Finance Management Controlling in SAP S/4HANA Cloud Private Edition:    Manage Activity Type  Manage Profit Center  Manage Statistical Key Figures and Value  Commitment by Cost Center  Manage Direct Activity Allocation  Reassign Cost and Revenue    For more information, see Finance Management Controlling.";"Info only";"General Availability";"New";"Technology";"2025-08-19";"2025-08-19";"Cloud"
"Joule";"Cloud Foundry";"Processing In-House Services in SAP S/4HANA Cloud Private Edition";"The following use cases are now supported by Joule:  Search for in-house service objects  Display details of in-house services  Display details of in-house service objects  Perform follow-up actions for in-house service objects  ";"Info only";"General Availability";"New";"Technology";"2025-08-19";"2025-08-19";"Cloud"
"Joule";"Cloud Foundry";"Support Extended for Subscription Order Management in SAP S/4HANA Cloud Private Edition";"The following transactional Joule capabilities are now supported for SAP S/4HANA Cloud Private Edition 2023 FPS01 release onwards.    Create subscription order  Search and summarize subscription contract     For more information, see Subscription Order Management. ";"Info only";"General Availability";"Announcement";"Technology";"2025-08-19";"2025-08-19";"Cloud"
"Joule";"Cloud Foundry";"Enhanced Intelligent Scenarios in Sales for SAP S/4HANA Cloud Private Edition";"You can activate the deployment of the intelligent scenarios to consume the inference in your business application, using the following:     2023: SD_INT_AI_GEMINI, SD_INT_AI_GPT. When more than one scenario is active, the system prioritizes the SD_INT_AI_GPT scenario for consumption.    For more information, see Activate and Deactivate and Perform Sales Order Field Changes and Resolve Fulfillment Issues.";"Required";"General Availability";"New";"Technology";"2025-08-11";"2025-08-15";"Cloud"
"Joule";"Cloud Foundry";"New Use Cases Now Supported in Sales for SAP S/4HANA Cloud Private Edition";"The following transactional use cases are now supported in Sales for SAP S/4HANA Cloud Private Edition:    Fetch sales order details  Fetch sales order fulfillment issues  Fetch sales order document flow  Fetch details of outbound deliveries  Perform changes to sales order fields  Provide issue resolution for sales order fulfilment issues  Create sales documents with reference  Fetch billing document information  Navigate to the respective apps  ";"Info only";"General Availability";"New";"Sales";"2025-08-11";"2025-08-15";"Cloud"
